phage	taxid	name	MCA-G2	MCA-G3	MCA-N1	MCA-N3	MCA-S1	MCA-S2	MCA-S3	MCB-G1	MCB-G2	MCB-G3	MCB-N1	MCB-N2	MCB-N3	MCB-S1	MCB-S2	MCB-S3
PSA-HM1	1357705	Pseudoalteromonas phage HM1	0.010894146167188	0.019639908691213	0.106232342273517	0.088878108894118	0.090496873258132	0.089466911431364	0.089465144806868	0.000237291170667	0.000203086022365	0.00025805454486	0.114970855482954	0.103309541183873	0.112680535636636	0.024517958963721	0.026157374725261	0.022633713027005
PSA-HP1	1357706	Pseudoalteromonas phage HP1	0.012130434230044	0.018707895282262	0.072069927113332	0.086086777085213	0.039468198353633	0.039537823195086	0.038142469569784	0.000204360774024	0.00021370734436	0.000201606510449	0.056788127199259	0.069701857160931	0.062683678601163	0.009043724705989	0.009457886711381	0.008709609865123
PSA-HS1	1357707	Pseudoalteromonas phage HS1	0.02526897658824	0.047605485493818	0.105890505381917	0.116149830787286	0.094837959103924	0.095766539152932	0.094014513712277	0.000437615591823	0.000421980619426	0.000452939379086	0.087207422375278	0.101391810894362	0.093964103013404	0.021613912298136	0.022975856549854	0.019995811074023
PSA-HS2	1357708	Pseudoalteromonas phage HS2	0.007760514048436	0.016400038159826	0.042217389718428	0.046372581197045	0.035636690620034	0.035584660576654	0.035280765490181	0.000145006329444	0.00014193600155	0.000153604653912	0.035818031520113	0.04188381904007	0.038695870517947	0.008267643250774	0.008794982511142	0.007830066741266
PSA-HS6	1357710	Pseudoalteromonas phage HS6	0.039521270296192	0.110667925391873	0.208538145150821	0.25830352273849	0.177934785789209	0.180172423964316	0.179021676812706	0.0008640919422	0.000928470872338	0.000935781261285	0.171117504631309	0.220243376086332	0.189619948457848	0.041659398252527	0.043315417011536	0.039112214482248
Cba phi38:1	1327977	Cellulophaga phage phi38:1	0.004953709391883	0.008654356127489	0.072333215402341	0.061228107337649	0.071913682820021	0.072863346690482	0.072559748911603	0.000116617133212	0.000106729357414	0.000130168381551	0.065046807528996	0.060808099358479	0.066001499536634	0.016699666020156	0.018284786073559	0.015800403089451
Cba phi18:3	1327983	Cellulophaga phage phi18:3	0.008301546725614	0.012241762921426	0.046008612744611	0.035969160194638	0.053382411318968	0.052905430048201	0.053351431544736	0.000142694580729	0.000107379155592	0.000152977324097	0.051945881755454	0.041004225310391	0.046793439365416	0.013489204530229	0.014663409468877	0.012402023315607
Cba phi38:2	1327999	Cellulophaga phage phi38:2	0.022844860335151	0.042301529004269	0.049870001151135	0.037949916537838	0.154333607467634	0.15368658826739	0.155010149003346	0.000820696668412	0.000682819124863	0.000940056982469	0.117268234174523	0.089896841395138	0.104344781333318	0.078166774828749	0.081930076461714	0.070961539516465
Cba phi13:1	1327992	Cellulophaga phage phi13:1	0.000688201602466	0.001465524619919	0.018209240353218	0.012488326530682	0.010390030806153	0.010424349948757	0.010399548720341	0	0	2.01446702765748E-005	0.019023834410433	0.014166600902038	0.016787014463789	0.002383357973236	0.002485447428473	0.00271432374662
Cba phi18:1	1327982	Cellulophaga phage phi18:1	0.058039229520047	0.091388889287371	0.27863062071068	0.256573668697041	0.261173423808232	0.258938027667561	0.262070519477636	0.000940237057361	0.000797952125113	0.000986605098807	0.263288142884342	0.237723472521196	0.248711537465628	0.05918627314708	0.062054925990454	0.054195464986983
phix174	2886930	Escherichia phage phiX174	0.060348873475094	0.044718224138274	0	0	0.002199803389587	0.002486275494458	0.002332909212232	0.540680545229166	0.534822508137816	0.545779076639222	0.010522032824061	0.011222198017491	0.011268932565414	0.581771098356057	0.563897746004288	0.605634693479344
alpha3	10849	Escherichia phage alpha3	0.749248237619646	0.586208460882261	0	0	0.008232533264474	0.008167623562798	0.008351122738289	0.455410843522962	0.461573431239161	0.449988984553984	0.007003125213279	0.008648158129697	0.008448659042802	0.143200987673345	0.145982091063461	0.140010136675865
